City,Country,Lat,Long,Temp,Humidity,Clouds,Winds
Kodīnar,IN,20.7903,70.7031,76.86,66,0,8.55
Zagora,MA,30.3484,-5.8365,72.93,27,0,4.59
Kapaa,US,22.0752,-159.319,82.38,77,20,4.0
Coquimbo,CL,-29.9533,-71.3436,62.33,59,0,12.66
Hobart,AU,-42.8794,147.3294,50.02,92,75,3.0
New Norfolk,AU,-42.7826,147.0587,49.66,81,100,3.0
Takoradze,GH,4.8845,-1.7554,78.35,84,100,6.73
Corcoran,US,36.098,-119.5604,69.96,29,9,7.81
Moss Vale,AU,-34.55,150.3833,54.16,87,12,4.36
Broome,US,42.2506,-75.833,49.84,76,90,0.0
Leningradskiy,RU,69.3833,178.4167,9.34,88,100,7.87
São João da Barra,BR,-21.6403,-41.0511,75.29,83,9,17.45
Portland,US,45.5234,-122.6762,55.9,94,90,1.99
Busselton,AU,-33.65,115.3333,51.08,80,92,5.46
Noumea,NC,-22.2763,166.4572,77.0,99,98,8.99
Rikitea,PF,-23.1203,-134.9692,74.79,82,99,21.36
Hithadhoo,MV,-0.6,73.0833,82.31,74,60,12.88
Morros,BR,-9.4467,-46.3003,79.09,67,61,5.5
Ushuaia,AR,-54.8,-68.3,35.26,87,75,20.71
Pozo Colorado,PY,-23.4923,-58.7972,73.4,91,56,19.82
Tashtagol,RU,52.7657,87.8894,35.98,95,100,6.64
Jamestown,US,42.097,-79.2353,49.59,97,90,4.0
Camocim,BR,-2.9022,-40.8411,81.57,75,78,15.01
Kumul,CN,42.8,93.45,49.08,43,100,5.75
Albany,US,42.6001,-73.9662,53.74,59,94,7.47
Yuanping,CN,38.7153,112.7575,42.73,67,11,0.94
Yulara,AU,-25.2406,130.9889,64.24,39,58,9.22
Waddān,LY,29.1614,16.139,80.13,22,56,11.05
Nome,US,64.5011,-165.4064,30.27,74,75,5.75
Qaanaaq,GL,77.484,-69.3632,-1.84,59,0,8.37
George Town,MY,5.4112,100.3354,79.9,88,20,3.0
Iskateley,RU,67.6803,53.1512,26.33,88,19,9.19
Camacha,PT,33.0833,-16.3333,67.42,60,40,10.36
Bethel,US,41.3712,-73.414,58.93,64,40,3.44
Boa Vista,BR,2.8197,-60.6733,91.38,49,40,11.5
Port Alfred,ZA,-33.5906,26.891,61.07,62,3,22.3
San Patricio,US,28.017,-97.5169,88.21,51,16,15.61
Tanggul,ID,-8.1645,113.4525,74.46,90,97,1.72
Oktyabr'skiy,RU,54.4815,53.471,46.17,72,97,8.12
Vila Franca do Campo,PT,37.7167,-25.4333,66.61,81,2,5.97
Misratah,LY,32.3754,15.0925,80.65,44,100,15.55
Shimoda,JP,34.6667,138.95,52.11,67,99,9.8
Shergarh,IN,28.65,79.35,68.61,75,0,4.18
Atuona,PF,-9.8,-139.0333,78.31,78,18,18.7
Salalah,OM,17.0151,54.0924,77.09,65,0,3.44
Mehrān,IR,33.1222,46.1646,69.28,20,5,8.9
Mataura,NZ,-46.1927,168.8643,52.52,94,100,0.65
Callaway,US,30.153,-85.5699,84.96,43,1,3.0
Synya,RU,65.3718,58.0387,23.97,94,69,7.74
Esim,GH,4.8699,-2.2405,78.22,83,91,5.28
Boden,SE,65.8252,21.6886,15.8,99,69,2.06
Ribeira Grande,PT,38.5167,-28.7,68.4,68,75,0.0
Vicuña,CL,-30.0319,-70.7081,78.76,28,0,7.23
Bredasdorp,ZA,-34.5322,20.0403,55.27,72,40,3.44
Yellowknife,CA,62.456,-114.3525,43.41,76,20,21.85
Masvingo,ZW,-20.0637,30.8277,80.92,35,86,2.19
Houma,US,29.5958,-90.7195,84.2,69,40,6.91
Nikolskoye,RU,59.7035,30.7861,35.87,95,98,8.55
Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,75,5.75
Port Elizabeth,ZA,-33.918,25.5701,60.1,77,40,19.57
Chui,UY,-33.6971,-53.4616,61.97,73,100,1.21
Nova Olinda do Norte,BR,-3.8881,-59.0942,88.36,56,100,3.15
Saint-Philippe,RE,-21.3585,55.7679,73.47,83,53,12.5
Bluff,NZ,-46.6,168.3333,51.64,94,100,3.18
Tuatapere,NZ,-46.1333,167.6833,52.12,96,100,2.04
Tatarsk,RU,55.219,75.9828,49.82,70,100,18.12
Vaini,TO,-21.2,-175.2,73.56,78,40,11.5
Pontianak,ID,-0.0333,109.3333,75.18,100,90,2.3
Alta Floresta,BR,-9.8756,-56.0861,89.42,55,40,4.61
Nieuw Amsterdam,SR,5.8833,-55.0833,82.02,82,40,5.75
Ponta do Sol,PT,32.6667,-17.1,70.72,67,30,7.65
Salekhard,RU,66.53,66.6019,28.99,83,98,14.27
Norman Wells,CA,65.282,-126.8329,42.84,65,40,4.61
Saskylakh,RU,71.9167,114.0833,7.74,95,100,16.28
Punta Arenas,CL,-53.15,-70.9167,42.91,61,40,37.98
Hermanus,ZA,-34.4187,19.2345,56.89,71,12,3.42
Thompson,CA,55.7435,-97.8558,35.76,69,75,4.61
Lavrentiya,RU,65.5833,-171.0,23.59,85,100,9.66
Butaritari,KI,3.0707,172.7902,81.0,74,100,8.3
Morgan City,US,29.6994,-91.2068,85.03,67,96,6.98
Arraial do Cabo,BR,-22.9661,-42.0278,75.16,78,0,20.71
Isangel,VU,-19.55,169.2667,77.11,78,88,9.22
Los Alamos,US,35.8881,-106.307,67.78,22,1,1.99
Aykhal,RU,66.0,111.5,24.21,90,100,23.06
Nanortalik,GL,60.1432,-45.2371,35.8,72,36,2.35
Cape Town,ZA,-33.9258,18.4232,59.27,72,40,1.01
Pisco,PE,-13.7,-76.2167,66.25,68,6,24.16
Fare,PF,-16.7,-151.0167,77.52,79,100,8.55
Kafanchan,NG,9.5833,8.3,66.67,94,18,1.41
Tommot,RU,58.9564,126.2925,34.61,85,100,4.0
Oddur,SO,4.1213,43.8894,76.26,73,88,11.5
Myanmar,MM,22.0,98.0,65.79,99,100,2.13
Castro,BR,-24.7911,-50.0119,68.23,66,91,5.66
Ürümqi,CN,43.801,87.6005,34.75,93,0,0.0
Saint-Augustin,CA,51.226,-58.6502,40.42,89,100,16.78
Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,100,9.86
Burnie,AU,-41.0667,145.9167,52.95,62,77,11.18
Vanino,RU,49.0869,140.2543,32.85,88,0,6.22
Naryan-Mar,RU,67.6713,53.087,26.51,87,19,9.33
Kavaratti,IN,10.5669,72.642,80.74,77,81,1.16
Upernavik,GL,72.7868,-56.1549,19.29,86,100,9.78
Bobo-Dioulasso,BF,11.1771,-4.2979,77.45,73,0,3.44
Khatanga,RU,71.9667,102.5,10.36,93,100,16.75
Mar del Plata,AR,-38.0023,-57.5575,59.02,67,40,18.99
Provideniya,RU,64.3833,-173.3,23.74,77,100,8.7
Dayong,CN,25.0209,118.2898,68.9,87,100,4.43
North Ogden,US,41.3072,-111.9602,45.45,87,90,1.01
Barrow,US,71.2906,-156.7887,28.42,86,90,13.8
Kaitangata,NZ,-46.2817,169.8464,55.69,74,100,2.46
Iquitos,PE,-3.7481,-73.2472,86.04,70,75,16.11
Chokurdakh,RU,70.6333,147.9167,-2.0,98,100,6.38
Manakara,MG,-22.1333,48.0167,73.26,95,21,6.98
Médéa,DZ,36.2642,2.7539,52.25,86,56,4.18
Yar-Sale,RU,66.8333,70.8333,30.0,92,100,11.36
Bāfq,IR,31.6128,55.4107,59.7,22,0,1.95
Lebu,CL,-37.6167,-73.65,54.27,76,24,9.51
Buluang,PH,13.3068,123.3425,76.12,92,100,3.33
Westport,US,41.1415,-73.3579,61.09,61,1,3.0
Coyhaique,CL,-45.5752,-72.0662,54.21,46,40,12.66
Havelock,US,34.8791,-76.9013,77.05,60,40,1.99
Ishigaki,JP,24.3448,124.1572,76.59,70,99,17.87
Torbay,CA,47.6666,-52.7314,61.68,93,75,14.97
Saint Anthony,US,45.0205,-93.218,53.74,48,1,1.01
Touros,BR,-5.1989,-35.4608,83.3,72,8,14.05
Yerbogachën,RU,61.2767,108.0108,30.0,82,39,10.02
Lexington Park,US,38.2668,-76.4538,69.91,56,40,11.5
Shunde,CN,22.8504,113.247,64.4,66,80,8.72
Teya,RU,60.3778,92.6267,34.5,92,100,14.47
Qaqortoq,GL,60.7167,-46.0333,34.3,73,32,3.06
Fortuna,US,40.5982,-124.1573,62.98,76,90,5.99
Grindavik,IS,63.8424,-22.4338,46.87,93,75,11.5
Arrondissement d'Arcachon,FR,44.5875,-1.0519,44.65,81,0,2.3
Anloga,GH,5.7947,0.8973,79.02,78,96,8.48
Ayan,RU,56.45,138.1667,37.92,70,2,9.55
Port Hedland,AU,-20.3167,118.5667,71.65,46,99,0.0
Assiut,EG,27.181,31.1837,71.78,47,2,10.13
Ust-Maya,RU,60.4167,134.5333,21.34,97,100,1.39
Bathsheba,BB,13.2167,-59.5167,86.61,62,40,20.71
Álamos,MX,27.0167,-108.9333,90.72,25,0,7.18
Ojinaga,MX,29.5667,-104.4167,90.57,35,1,0.0
Porbandar,IN,21.6422,69.6093,80.8,63,92,12.77
Kango,GA,0.1943,10.0951,73.11,98,81,2.64
Villebon-sur-Yvette,FR,48.7059,2.2402,49.24,83,0,1.01
Olafsvik,IS,64.8945,-23.7142,45.66,91,100,12.12
Antalaha,MG,-14.9003,50.2788,73.83,94,76,1.86
Yangi Marg`ilon,UZ,40.4272,71.7189,41.72,60,0,6.91
Kaduqli,SD,11.0167,29.7167,86.4,37,99,2.86
São Filipe,CV,14.8961,-24.4956,79.86,71,5,6.42
Santa Cruz de Barahona,DO,18.2085,-71.1008,85.82,74,75,16.11
Shache,CN,38.4167,77.2406,47.39,39,29,5.68
Sitka,US,57.0531,-135.33,46.29,76,75,9.22
San Quintín,MX,30.4833,-115.95,67.95,69,20,21.74
Esperance,AU,-33.8667,121.9,51.64,67,37,17.13
Cherskiy,RU,68.75,161.3,-4.11,100,97,2.46
San Rafael,AR,-34.6177,-68.3301,73.89,16,0,12.41
Beibei,CN,29.8256,106.4339,61.27,79,9,1.48
Hong Kong,HK,22.2855,114.1577,69.33,81,100,1.99
Saint Paul Harbor,US,57.79,-152.4072,44.11,76,90,14.97
Sobolevo,RU,54.4299,31.8996,40.86,77,95,16.2
Lorengau,PG,-2.0226,147.2712,81.68,80,53,8.97
Mahébourg,MU,-20.4081,57.7,75.49,83,75,11.5
Vardø,NO,70.3705,31.1107,34.36,71,97,21.3
Manadhoo,MV,5.7667,73.3833,81.61,77,100,15.08
Oropesa,PE,-13.5928,-71.7719,73.26,28,40,11.5
Srednekolymsk,RU,67.45,153.6833,-14.46,98,37,4.14
Tasiilaq,GL,65.6145,-37.6368,33.96,86,100,4.5
Ternate,ID,0.8,127.4,79.79,79,45,4.25
Mitsamiouli,KM,-11.3847,43.2844,78.22,76,8,5.61
Kavieng,PG,-2.5744,150.7967,82.54,76,95,12.75
Rebrikha,RU,53.0733,82.3408,44.65,62,100,23.51
Muros,ES,42.7762,-9.0603,57.24,92,21,2.44
Cape Coast,GH,5.1053,-1.2466,78.73,83,100,7.92
Pevek,RU,69.7008,170.3133,10.6,94,100,6.87
Barzas,RU,55.7167,86.3167,41.23,89,100,16.11
Kununurra,AU,-15.7667,128.7333,78.78,89,2,5.75
Bellavista,PE,-7.0561,-76.5911,94.28,42,70,4.07
Hasaki,JP,35.7333,140.8333,39.6,53,1,7.34
Bonga,ET,7.2833,36.2333,58.35,72,89,2.01
Udachny,RU,66.4167,112.4,25.74,89,72,20.0
Marzuq,YE,14.4,46.4667,71.33,30,9,4.56
Zhigansk,RU,66.7697,123.3711,21.47,95,100,15.9
Bambous Virieux,MU,-20.3428,57.7575,75.45,83,75,11.5
Leh,IN,34.1667,77.5833,29.53,90,99,2.75
Sioux Lookout,CA,50.1001,-91.917,42.87,61,75,9.22
Oostburg,US,43.6228,-87.7945,55.54,52,75,6.91
Salé,MA,34.0389,-6.8166,64.63,100,0,0.0
Ilulissat,GL,69.2167,-51.1,21.22,73,75,20.71
Ancud,CL,-41.8697,-73.8203,53.13,62,5,11.27
Lagoa,PT,39.05,-27.9833,66.45,66,20,14.85
Hilo,US,19.7297,-155.09,77.25,88,90,4.61
Hamilton,US,39.1834,-84.5333,60.24,70,90,4.61
Longyearbyen,SJ,78.2186,15.6401,19.24,86,40,4.61
Krasnosel'kup,RU,65.7,82.4667,32.43,99,100,7.83
Shingū,JP,33.7333,135.9833,49.41,70,28,5.68
Beloha,MG,-25.1667,45.05,69.8,88,1,3.09
Zheleznogorsk-Ilimskiy,RU,56.5768,104.1217,28.76,92,97,5.75
Hambantota,LK,6.1241,81.1185,78.62,80,31,12.62
Coro,VE,11.4045,-69.6734,85.41,68,33,20.31
Ladário,BR,-19.0047,-57.6017,104.29,29,9,16.11
Saldanha,ZA,-33.0117,17.9442,55.45,73,24,7.49
San Juan del Cesar,CO,10.7711,-73.0031,88.43,56,28,7.78
Seymchan,RU,62.8833,152.4333,-1.68,85,54,3.31
Abu Dhabi,AE,24.4667,54.3667,84.31,70,0,5.75
Methóni,GR,36.8197,21.7049,67.21,68,7,6.04
Paamiut,GL,61.994,-49.6678,32.45,52,98,18.77
Nantucket,US,41.2835,-70.0995,61.14,75,20,11.3
Sabang,ID,5.8933,95.3214,80.46,79,94,5.21
Brae,GB,60.3964,-1.353,51.71,90,100,25.12
Bengkulu,ID,-3.8004,102.2655,75.81,89,60,3.65
Banjarmasin,ID,-3.3244,114.591,77.14,91,98,1.95
Aklavik,CA,68.2191,-135.0107,30.2,80,75,5.75
Vygonichi,RU,53.0985,34.0673,37.51,87,100,11.18
Manggar,ID,-2.8833,108.2667,79.02,82,37,2.98
Natal,BR,-5.795,-35.2094,83.05,74,20,11.5
Avarua,CK,-21.2078,-159.775,75.25,57,20,9.22
Dunedin,NZ,-45.8742,170.5036,54.81,78,100,7.0
San Cristobal,VE,7.7669,-72.225,80.78,67,93,3.6
Merke,KZ,42.8728,73.1786,44.15,49,1,5.48
Geraldton,AU,-28.7667,114.6,52.21,93,18,5.75
Kalevala,RU,65.2,31.1667,20.97,96,100,3.58
Matara,LK,5.9485,80.5353,77.5,85,33,9.42
Kaga,JP,36.2997,136.3145,44.53,87,40,5.75
Skellefteå,SE,64.7507,20.9528,23.36,93,90,4.61
Laguna,US,38.421,-121.4238,67.21,65,90,4.0
Broken Hill,AU,-31.95,141.4333,47.91,71,0,12.66
Amahai,ID,-3.3333,128.9167,77.5,86,96,4.16
Xining,CN,36.6167,101.7667,40.35,86,99,1.63
Hirara,JP,24.8,125.2833,76.01,62,91,13.18
Bayonet Point,US,28.3267,-82.6834,89.94,72,99,5.99
La Ronge,CA,55.1001,-105.2842,37.65,70,75,13.8
Kolvereid,NO,64.8655,11.6047,37.62,94,100,8.39
Haines Junction,CA,60.7522,-137.5108,33.75,86,83,1.14
İstisu,AZ,40.9457,48.0738,36.27,63,0,3.36
Butembo,CD,0.15,29.2833,58.33,93,98,2.35
Berlevåg,NO,70.8578,29.0864,35.85,60,100,20.85
Kalispell,US,48.1958,-114.3129,52.32,48,75,1.01
Caxito,AO,-8.5785,13.6643,77.65,78,89,3.58
Baghdad,IQ,33.3406,44.4009,78.46,21,62,6.22
Diu,IN,20.7141,70.9822,75.96,69,0,8.59
Anderson,US,34.5334,-82.6499,76.24,54,1,1.01
Chërnaya Kholunitsa,RU,58.8511,51.7154,40.32,84,100,7.2
Mossamedes,AO,-15.1961,12.1522,65.41,72,65,9.95
Tiksi,RU,71.6872,128.8694,0.88,97,100,7.65
Payyanur,IN,12.1,75.2,74.53,93,97,5.21
Araguaína,BR,-7.1911,-48.2072,80.51,72,100,5.48
Santa Fe,AR,-31.6333,-60.7,73.99,43,29,8.01
Buraidah,SA,26.326,43.975,77.45,18,0,7.7
Belaya Gora,RU,68.5333,146.4167,-6.95,93,99,4.34
Kapoeta,SS,4.7717,33.5903,83.77,38,40,4.56
Arman',RU,59.7,150.1667,20.1,69,99,10.45
Klamath Falls,US,42.2249,-121.7817,42.87,81,90,4.61
Hailey,US,43.5196,-114.3153,46.9,57,90,5.75
Verkhnevilyuysk,RU,63.4453,120.3167,34.41,93,100,9.08
Bereda,ES,43.2686,-7.5406,51.91,93,71,1.32
Kapuskasing,CA,49.4169,-82.4331,41.09,87,90,10.36
Coffs Harbour,AU,-30.3,153.1333,66.47,94,0,1.14
Katsuura,JP,35.1333,140.3,51.91,58,33,7.2
Bonthe,SL,7.5264,-12.505,79.25,82,100,4.0
Port Hawkesbury,CA,45.6169,-61.3485,64.69,96,90,3.0
Zhengjiatun,CN,43.5064,123.5064,40.21,67,0,7.27
Kungurtug,RU,50.5994,97.5228,26.24,73,1,1.01
Mandan,US,46.8267,-100.8896,51.78,44,1,20.71
Souillac,MU,-20.5167,57.5167,75.58,83,75,11.5
Buinsk,RU,54.95,48.2833,49.89,72,100,12.8
Arucas,ES,28.1198,-15.5233,68.83,85,94,10.85
Vanavara,RU,60.34,102.2797,31.19,76,100,11.32
La Palma,US,33.8464,-118.0467,73.04,81,75,1.01
Athens,GR,37.9795,23.7162,69.22,82,6,1.01
East London,ZA,-33.0153,27.9116,61.75,67,61,19.98
Genhe,CN,50.7833,121.5167,29.41,89,0,2.06
Aktau,KZ,43.65,51.2,46.98,38,0,12.46
Coxim,BR,-18.5067,-54.76,98.1,30,47,14.85
Sultānpur,IN,26.2667,82.0667,71.4,64,0,4.7
Maïné Soroa,NE,13.2114,12.0241,88.43,14,12,7.31
Lüderitz,NA,-26.6481,15.1594,57.67,74,0,17.78
Joshīmath,IN,30.5667,79.5667,51.96,54,0,6.42
Luba,GQ,3.4568,8.5547,76.89,85,65,1.43
Adrar,MR,20.5022,-10.0711,80.74,19,1,4.36
Ada,US,43.4166,-116.1262,52.41,62,90,0.0
Bandarbeyla,SO,9.4942,50.8122,77.56,81,23,8.61
Port Lincoln,AU,-34.7333,135.8667,54.45,77,1,9.22
